entry_date,exit_date,ticker,side,entry_price,exit_price,sl,tp,shares,pnl,win_prob,outcome
2023-02-20,2023-02-20,ADANIENT.NS,BUY,1647.6687690159647,1622.9537374807253,1622.9537374807253,1697.0988320864437,2,-49.43006307047881,0.9761857390403748,SL
2023-02-21,2023-02-21,ADANIENT.NS,BUY,1623.702708009222,1599.3471673890838,1599.3471673890838,1672.4137892494987,2,-48.7110812402766,0.9762290120124817,SL
2023-02-22,2023-02-22,ADANIENT.NS,BUY,1532.831252311872,1509.838783527194,1509.838783527194,1578.8161898812282,3,-68.9774063540342,0.9804646968841553,SL
2023-02-23,2023-02-23,ADANIENT.NS,BUY,1378.0502529031262,1419.39176049022,1357.3794991095792,1419.39176049022,3,124.0245227612811,0.9622085094451904,TP
2023-02-24,2023-02-24,ADANIENT.NS,BUY,1408.007805856573,1386.8876887687245,1386.8876887687245,1450.2480400322702,3,-63.36035126354545,0.9840717911720276,SL
2023-02-27,2023-02-27,ADANIENT.NS,BUY,1298.1632483569858,1278.690799631631,1278.690799631631,1337.1081458076953,3,-58.41734617606426,0.9859930276870728,SL
2023-03-09,2023-03-09,ADANIENT.NS,BUY,2046.9038465792253,2016.2002888805368,2016.2002888805368,2108.310961976602,2,-61.407115397376856,0.9079186320304871,SL
2023-03-10,2023-03-10,ADANIENT.NS,BUY,1867.3579398815605,1923.3786780780074,1839.347570783337,1923.3786780780074,2,112.04147639289386,0.9542452692985535,TP
2023-03-10,2023-03-13,SBIN.NS,BUY,523.1046125600982,515.2580433716968,515.2580433716968,538.7977509369011,9,-70.61912269561276,0.6335567831993103,SL
2023-03-13,2023-03-13,ADANIENT.NS,BUY,1914.2914956185523,1971.7202404871089,1885.5771231842741,1971.7202404871089,2,114.85748973711316,0.905016303062439,TP
2023-03-14,2023-03-14,ADANIENT.NS,BUY,1871.352324764628,1843.2820398931585,1843.2820398931585,1927.492894507567,2,-56.14056974293908,0.8927345871925354,SL
2023-03-16,2023-03-16,ADANIENT.NS,SELL,1858.3705956737133,1802.619477803502,1886.246154608819,1802.619477803502,2,111.50223574042275,0.6968810558319092,TP
2023-03-24,2023-03-24,ADANIENT.NS,BUY,1793.4625718254022,1766.560633248021,1766.560633248021,1847.2664489801641,2,-53.803877154762176,0.6858934164047241,SL
2023-05-02,2023-05-03,ADANIENT.NS,BUY,1932.266070365936,1903.282079310447,1903.282079310447,1990.234052476914,2,-57.96798211097803,0.6027591824531555,SL
2023-05-03,2023-05-03,ADANIENT.NS,BUY,1916.2887038562271,1887.5443732983838,1887.5443732983838,1973.777364971914,2,-57.48866111568668,0.6445483565330505,SL
2023-05-15,2023-05-15,ADANIENT.NS,BUY,1957.1310411006,1927.774075484091,1927.774075484091,2015.844972333618,2,-58.713931233017775,0.6761338710784912,SL
2023-05-15,2023-05-19,SBIN.NS,BUY,547.3635185418273,539.1530657636998,539.1530657636998,563.7844240980821,8,-65.68362222501946,0.6277516484260559,SL
2023-05-24,2023-05-24,ADANIENT.NS,BUY,2705.1724239644386,2664.594837604972,2664.594837604972,2786.3275966833717,1,-40.57758635946675,0.9656503796577454,SL
2023-06-16,2023-06-19,ADANIENT.NS,SELL,2495.668990580226,2420.798920862819,2533.1040254389295,2420.798920862819,1,74.87006971740675,0.6091205477714539,TP
2023-06-19,2023-06-19,ADANIENT.NS,BUY,2500.46221899783,2462.9552857128624,2462.9552857128624,2575.476085567765,1,-37.506933284967545,0.809127151966095,SL
2023-06-20,2023-06-22,ADANIENT.NS,SELL,2431.559594302752,2358.6128064736695,2468.032988217293,2358.6128064736695,1,72.9467878290825,0.7709081768989563,TP
2023-06-22,2023-06-22,ADANIENT.NS,BUY,2421.6737866595613,2385.3486798596678,2385.3486798596678,2494.324000259348,1,-36.32510679989355,0.7979907393455505,SL
2023-06-23,2023-06-23,ADANIENT.NS,BUY,2388.919990737277,2353.086190876218,2353.086190876218,2460.5875904593954,1,-35.833799861059106,0.7988163828849792,SL
2023-07-21,2023-07-21,RELIANCE.NS,BUY,1290.357730278342,1271.0023643241668,1271.0023643241668,1329.0684621866922,3,-58.06609786252534,0.7188814282417297,SL
2023-08-16,2023-08-17,ADANIENT.NS,SELL,2447.760902754133,2484.477316295445,2484.477316295445,2374.328075671509,1,-36.716413541311795,0.6490825414657593,SL
2023-10-13,2023-10-17,INFY.NS,BUY,1333.4542976485548,1373.4579265780114,1313.4524831838264,1373.4579265780114,3,120.01088678837004,0.7693105340003967,TP
2023-12-06,2023-12-06,ADANIENT.NS,BUY,3077.1850808526683,3031.0273046398784,3031.0273046398784,3169.500633278248,1,-46.15777621278994,0.9710270762443542,SL
2023-12-07,2023-12-07,ADANIENT.NS,BUY,2897.349583950841,2853.8893401915784,2853.8893401915784,2984.270071469366,1,-43.46024375926254,0.7698917388916016,SL
